iter	MAE
0	6574.606727
1	6375.403588
2	6213.034496
3	6049.231826
4	5906.205328
5	5748.528238
6	5592.618466
7	5439.708347
8	5329.879675
9	5203.472171
10	5094.993003
11	4980.065126
12	4878.473558
13	4789.498011
14	4667.758865
15	4576.511869
16	4481.649014
17	4383.858255
18	4287.038372
19	4190.376785
20	4085.058814
21	3986.312185
22	3911.789839
23	3817.048582
24	3748.597965
25	3678.658534
26	3583.021705
27	3491.735531
28	3429.921775
29	3348.64117
30	3284.259188
31	3238.914777
32	3161.685182
33	3116.157603
34	3068.842587
35	3006.435868
36	2937.58817
37	2870.968983
38	2824.443921
39	2784.500419
40	2740.497739
41	2699.018179
42	2651.635285
43	2594.237301
44	2538.995513
45	2507.079184
46	2449.22349
47	2412.778909
48	2369.435392
49	2335.19522
50	2289.135248
51	2240.377655
52	2198.312915
53	2179.400017
54	2136.017339
55	2093.403432
56	2054.09789
57	2012.189395
58	1973.365344
59	1933.858753
60	1891.741949
61	1853.302341
62	1831.372214
63	1803.459862
64	1769.277212
65	1752.839108
66	1729.220176
67	1700.780869
68	1677.712015
69	1663.433162
70	1638.813253
71	1625.644486
72	1598.986809
73	1574.201623
74	1547.659335
75	1538.466712
76	1518.358916
77	1505.265985
78	1491.280273
79	1474.791336
80	1453.643265
81	1438.12595
82	1427.01805
83	1410.220144
84	1393.823528
85	1374.542661
86	1356.620186
87	1336.388103
88	1319.080075
89	1299.963699
90	1283.743725
91	1267.530114
92	1263.951184
93	1256.822222
94	1245.066342
95	1233.195245
96	1225.858167
97	1210.179172
98	1195.467993
99	1186.067868
100	1170.685193
101	1158.298679
102	1149.603877
103	1138.826886
104	1123.951279
105	1110.136404
106	1102.125101
107	1091.66764
108	1085.719579
109	1075.097368
110	1070.89762
111	1067.309775
112	1055.625634
113	1045.617502
114	1035.343745
115	1023.652025
116	1015.540289
117	1010.592343
118	999.7392872
119	990.2285718
120	982.1001122
121	970.0735757
122	958.9386659
123	956.0724628
124	950.4535332
125	945.3270152
126	943.1642044
127	935.8328602
128	930.9033037
129	925.0644615
130	920.3171452
131	915.6312717
132	906.2527376
133	897.3791392
134	888.7226641
135	883.0859773
136	878.3654248
137	872.830947
138	869.3299824
139	864.3457855
140	860.5611081
141	856.1054644
142	853.0932945
143	849.0316031
144	845.3267033
145	841.2609219
146	836.721594
147	831.0868682
148	829.5679962
149	826.4915643
150	823.6593168
151	816.4038764
152	813.500775
153	805.7886265
154	802.1253924
155	795.8667716
156	790.2956647
157	782.8167022
158	777.4449819
159	773.3056997
160	767.9395035
161	763.7767093
162	760.037626
163	757.2333598
164	752.3659794
165	747.7287008
166	744.21729
167	742.398714
168	739.3643773
169	736.9897139
170	734.1822911
171	728.0182145
172	719.6670455
173	716.6693332
174	713.0637799
175	710.3445104
176	708.9463982
177	706.2457953
178	703.9859588
179	696.5653618
180	694.5128065
181	691.1556222
182	688.1751797
183	684.2170217
184	682.9461066
185	679.9960529
186	678.1197507
187	672.9349149
188	671.1663489
189	668.8870912
190	667.9690733
191	664.2672264
192	662.7285783
193	660.864699
194	658.4654355
195	656.885316
196	654.8027654
197	653.3569651
198	649.7328466
199	647.1090143
200	645.6081623
201	643.3958806
202	640.8436825
203	638.4109828
204	635.7764903
205	634.2146371
206	631.7916517
207	629.9464059
208	628.3852388
209	626.3217462
210	624.6852956
211	622.4933502
212	619.0950204
213	616.9774694
214	615.3852001
215	613.5853155
216	611.9375445
217	607.6924088
218	605.6715279
219	603.8805054
220	601.5199249
221	598.8285093
222	596.9947503
223	595.496883
224	593.0531234
225	591.0913424
226	589.0433139
227	586.7138242
228	584.7998714
229	582.4131865
230	577.4027456
231	573.4344474
232	568.7431313
233	567.4473455
234	565.2021484
235	559.0665918
236	557.9416177
237	556.0622273
238	554.1883549
239	553.0361244
240	551.0738262
241	549.2737582
242	546.3302909
243	543.5517903
244	540.9264925
245	539.5334055
246	537.9275814
247	536.8293749
248	535.8620436
249	534.479326
250	533.1167968
251	531.0842422
252	529.5393495
253	528.2021577
254	526.3082178
255	521.8756435
256	520.9286477
257	519.041423
258	517.6744197
259	516.5981577
260	515.4467293
261	514.3038433
262	513.2495809
263	511.3526825
264	509.8623199
265	508.703408
266	506.2292792
267	505.3603175
268	504.0564072
269	503.3091537
270	500.9703964
271	500.2932582
272	497.9880694
273	496.7769607
274	495.6617756
275	492.6493194
276	490.7466039
277	489.2175252
278	487.9077699
279	486.6241677
280	485.2974666
281	482.8069551
282	479.8426295
283	479.0683636
284	474.8543019
285	473.643433
286	471.4908448
287	468.229365
288	465.0071636
289	460.2432374
290	458.1939249
291	456.7550415
292	455.6843393
293	454.6674234
294	452.3376696
295	449.1196879
296	447.2301506
297	446.3024258
298	443.5819622
299	443.3361719
300	442.7801229
301	442.2236185
302	441.6835281
303	438.5973426
304	437.5388668
305	437.1500791
306	436.5827611
307	435.348095
308	434.5425909
309	433.5120443
310	433.3140569
311	430.7018629
312	427.0342333
313	425.2447156
314	424.3821664
315	423.3072962
316	422.9042576
317	422.0423476
318	420.3108854
319	419.4187238
320	418.6214988
321	418.0914127
322	417.225244
323	416.5888648
324	412.5389725
325	410.0836802
326	409.1115814
327	408.6486731
328	407.5400425
329	406.1054454
330	405.5960542
331	404.4145709
332	403.3472786
333	401.8532959
334	399.5889255
335	398.9057701
336	397.7900264
337	397.0213709
338	396.7050765
339	395.9635197
340	394.1710188
341	392.7992629
342	392.6760366
343	391.864324
344	390.3886618
345	389.8399945
346	388.8936844
347	388.2244043
348	387.6919529
349	387.3155335
350	386.2633409
351	385.6563843
352	384.7450787
353	383.0477636
354	381.6976223
355	380.1914932
